age,ethnicity,gender,img_name
57,0,0,20170120222949154.jpg.chip.jpg
42,0,1,20170116221807908.jpg.chip.jpg
57,0,0,20170104212808228.jpg.chip.jpg
25,0,0,20170117192955499.jpg.chip.jpg
46,3,0,20170119201157876.jpg.chip.jpg
26,1,1,20170116233502567.jpg.chip.jpg
26,0,1,20170116153206969.jpg.chip.jpg
46,0,1,20170109142329559.jpg.chip.jpg
55,0,0,20170113184836584.jpg.chip.jpg
24,1,1,20170115235619848.jpg.chip.jpg
70,0,0,20170120221817960.jpg.chip.jpg
21,2,0,20170116170741864.jpg.chip.jpg
28,3,0,20170119194819469.jpg.chip.jpg
30,4,1,20170117203006317.jpg.chip.jpg
24,2,0,20170116164343289.jpg.chip.jpg
25,0,0,20170117151532082.jpg.chip.jpg
30,4,1,20170103225917841.jpg.chip.jpg
38,1,0,20170113184321335.jpg.chip.jpg
21,0,0,20170103223223127.jpg.chip.jpg
53,0,0,20170111205031079.jpg.chip.jpg
57,3,0,20170119211457489.jpg.chip.jpg
2,2,0,20161219162317542.jpg.chip.jpg
28,2,1,20170116170809755.jpg.chip.jpg
31,3,1,20170104235227202.jpg.chip.jpg
50,2,0,20170116191755793.jpg.chip.jpg
1,2,0,20161219222832191.jpg.chip.jpg
29,1,0,20170117181012475.jpg.chip.jpg
25,2,1,20170116175317571.jpg.chip.jpg
2,3,1,20161219230359040.jpg.chip.jpg
19,1,0,20170110231850376.jpg.chip.jpg
6,2,0,20170103210440650.jpg.chip.jpg
29,1,1,20170113000314554.jpg.chip.jpg
30,2,0,20170119183959989.jpg.chip.jpg
62,0,0,20170111204633236.jpg.chip.jpg
18,0,1,20170109212914272.jpg.chip.jpg
35,3,0,20170119201257884.jpg.chip.jpg
26,3,1,20170104232518026.jpg.chip.jpg
27,1,1,20170112213507183.jpg.chip.jpg
24,3,1,20170117145425107.jpg.chip.jpg
40,0,0,20170117170900892.jpg.chip.jpg
32,0,1,20170117180018829.jpg.chip.jpg
5,3,1,20161220145842991.jpg.chip.jpg
70,0,1,20170120221601317.jpg.chip.jpg
8,2,0,20161219162204262.jpg.chip.jpg
31,2,0,20170115231427920.jpg.chip.jpg
5,3,1,20161220221527498.jpg.chip.jpg
26,1,1,20170117200332549.jpg.chip.jpg
10,0,0,20170110221714752.jpg.chip.jpg
24,3,1,20161220221743058.jpg.chip.jpg
42,3,0,20170119204431257.jpg.chip.jpg
42,3,0,20170105180921463.jpg.chip.jpg
1,4,0,20161221195047839.jpg.chip.jpg
80,0,0,20170117173848607.jpg.chip.jpg
46,2,0,20170116224908862.jpg.chip.jpg
25,1,1,20170112230805931.jpg.chip.jpg
24,1,1,20170117164614871.jpg.chip.jpg
32,2,1,20170109004658032.jpg.chip.jpg
30,2,0,20170116173633448.jpg.chip.jpg
1,3,1,20161219224753152.jpg.chip.jpg
32,3,1,20170119200442044.jpg.chip.jpg
52,0,0,20170104212312373.jpg.chip.jpg
24,3,1,20170117150632348.jpg.chip.jpg
42,3,0,20170119204443991.jpg.chip.jpg
14,4,1,20170103201207132.jpg.chip.jpg
14,0,1,20170109204918699.jpg.chip.jpg
39,0,1,20170117154454831.jpg.chip.jpg
15,2,1,20161219193333691.jpg.chip.jpg
4,1,1,20170109194538070.jpg.chip.jpg
30,0,1,20170104184950950.jpg.chip.jpg
16,4,1,20170103223310543.jpg.chip.jpg
8,0,1,20170109204933562.jpg.chip.jpg
